Year,Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,WPA,cWPA,OPP,,,,,,,
1923,Sad Sam Jones,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.13,-0.046,NY Giants,,,,,,,
1923,Bob Meusel,6,26,1,7,1,2,0,8,0,3,0.269,0.269,0.462,0.731,0,0,0,0.23,0.180,NY Giants,,,,,,,
1923,Herb Pennock,3,6,0,0,0,0,0,0,0,2,0,0.143,0,0.143,0,0,0,-0.09,-0.036,NY Giants,,,,,,,
1923,Wally Pipp,6,20,2,5,0,0,0,1,4,1,0.25,0.375,0.25,0.625,0,0,0,-0.15,-0.050,NY Giants,,,,,,,
1923,Babe Ruth,6,19,8,7,1,1,3,3,8,6,0.368,0.556,1,1.556,0,0,1,0.16,0.070,NY Giants,,,,,,,
1923,Wally Schang,6,22,3,7,1,0,0,0,1,2,0.318,0.348,0.364,0.711,0,0,1,0,-0.008,NY Giants,,,,,,,
1923,Everett Scott,6,22,2,7,0,0,0,3,0,1,0.318,0.318,0.318,0.636,0,0,1,0.02,0.008,NY Giants,,,,,,,
1923,Bob Shawkey,1,3,0,1,0,0,0,1,0,0,0.333,0.333,0.333,0.667,0,0,0,-0.03,-0.011,NY Giants,,,,,,,
1923,Aaron Ward,6,24,4,10,0,0,1,2,1,3,0.417,0.44,0.542,0.982,1,0,0,0.01,-0.014,NY Giants,,,,,,,
1923,Whitey Witt,6,25,1,6,2,0,0,4,1,1,0.24,0.269,0.32,0.589,0,0,0,-0.26,-0.082,NY Giants,,,,,,,
1926,Spencer Adams,2,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0.000,Cardinals,,,,,,,
1926,Pat Collins,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.05,-0.053,Cardinals,,,,,,,
1926,Earle Combs,7,28,3,10,2,0,0,2,5,2,0.357,0.455,0.429,0.883,0,0,0,-0.06,-0.048,Cardinals,,,,,,,
1926,Joe Dugan,7,24,2,8,1,0,0,2,1,1,0.333,0.36,0.375,0.735,0,1,1,-0.11,-0.120,Cardinals,,,,,,,
1926,Mike Gazella,1,0,0,0,0,0,0,0,0,0,,1,,,0,0,0,0.02,0.010,Cardinals,,,,,,,
